Assembly	N_contigs_0_bp	N_contigs_1000_bp	N_contigs_5000_bp	N_contigs_10000_bp	N_contigs_25000_bp	N_contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largest_contig	Total_length	GC	N50	N75	L50	L75	N_N_s_per_100_kbp	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	dunno	species	useGenome
GCA_001639445	72	46	34	31	26	19	3196955	3187729	3160409	3139523	3052854	2815421	50	397587	3190404	45.07	163709	90516	6	13	0	PRJNA313526	SAMN04525211	LUWB00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo1839	NA	latest	Contig	Major	Full	2016-04-28	ASM163944v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/445/GCA_001639445.1_ASM163944v1	NA	NA	plantarum	TRUE
GCA_001639455	189	119	79	63	44	21	3204420	3173934	3074655	2945433	2633089	1859391	146	216022	3192076	44.91	56141	29732	17	36	0	PRJNA313531	SAMN04525298	LUWC00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo1840	NA	latest	Contig	Major	Full	2016-04-28	ASM163945v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/455/GCA_001639455.1_ASM163945v1	NA	NA	plantarum	TRUE
GCA_001639485	96	66	53	46	36	27	3243027	3230555	3200888	3149844	2976888	2629111	74	187842	3235978	44.5	96205	52867	12	24	0	PRJNA313771	SAMN04525416	LUWD00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2029	NA	latest	Contig	Major	Full	2016-04-28	ASM163948v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/485/GCA_001639485.1_ASM163948v1	NA	NA	plantarum	TRUE
GCA_001639505	145	109	72	58	35	22	3156658	3139283	3050555	2955633	2601942	2139201	125	282658	3150814	44.41	68107	37269	12	28	0	PRJNA313911	SAMN04525445	LUWF00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2257	NA	latest	Contig	Major	Full	2016-04-28	ASM163950v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/505/GCA_001639505.1_ASM163950v1	NA	NA	plantarum	TRUE
GCA_001639525	142	105	67	55	35	23	3131331	3113147	3021334	2929037	2619889	2204470	122	282083	3125646	44.43	68439	37809	12	27	0	PRJNA313912	SAMN04525446	LUWG00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2258	NA	latest	Contig	Major	Full	2016-04-28	ASM163952v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/525/GCA_001639525.1_ASM163952v1	NA	NA	plantarum	TRUE
GCA_001639545	109	78	55	39	24	18	3430618	3416885	3359929	3237434	3008633	2788092	89	418327	3424482	44.28	201469	71531	6	14	0	PRJNA313914	SAMN04525553	LUWH00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2259	NA	latest	Contig	Major	Full	2016-04-28	ASM163954v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/545/GCA_001639545.1_ASM163954v1	NA	NA	plantarum	TRUE
GCA_001639565	42	26	24	22	16	14	3310196	3303946	3299973	3288251	3175755	3098022	31	478988	3307006	44.44	238084	173158	5	9	0	PRJNA313917	SAMN04525974	LUWI00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2260	NA	latest	Contig	Major	Full	2016-04-28	ASM163956v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/565/GCA_001639565.1_ASM163956v1	NA	NA	plantarum	TRUE
GCA_001639585	33	22	18	18	15	13	3219981	3216732	3208174	3208174	3155099	3087497	22	557043	3216732	44.54	349001	146294	4	7	0	PRJNA313919	SAMN04525975	LUWJ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2262	NA	latest	Contig	Major	Full	2016-04-28	ASM163958v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/585/GCA_001639585.1_ASM163958v1	NA	NA	plantarum	TRUE
GCA_001639595	40	28	25	24	19	15	3259263	3255404	3248823	3241309	3149151	2985000	29	336917	3255947	44.47	271383	130594	6	10	0	PRJNA313920	SAMN04525976	LUWK00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2263	NA	latest	Contig	Major	Full	2016-04-28	ASM163959v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/595/GCA_001639595.1_ASM163959v1	NA	NA	plantarum	TRUE
GCA_001639625	32	20	17	17	16	16	3087260	3083367	3077430	3077430	3059136	3059136	21	445323	3083930	45.35	274446	187921	5	8	0	PRJNA313924	SAMN04525977	LUWL00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2264	NA	latest	Contig	Major	Full	2016-04-28	ASM163962v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/625/GCA_001639625.1_ASM163962v1	NA	NA	plantarum	TRUE
GCA_001639645	73	46	35	32	26	19	3339139	3330119	3305663	3287398	3168134	2891836	50	402615	3332649	44.37	193824	77564	6	13	0	PRJNA313929	SAMN04525983	LUWM00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2457	NA	latest	Contig	Major	Full	2016-04-28	ASM163964v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/645/GCA_001639645.1_ASM163964v1	NA	NA	plantarum	TRUE
GCA_001643065	61	38	28	25	20	18	3297828	3285439	3264722	3241891	3167128	3101335	49	627647	3293795	44.43	194836	102984	5	10	0	PRJNA311556	SAMN04485286	LSND00000000.1	na	1590	1590	Lactobacillus plantarum	strain=UC8491	NA	latest	Contig	Major	Full	2016-05-13	ASM164306v1	Instituto Nacional de Tecnologia Agropecuaria	GCF_001643065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/643/065/GCA_001643065.1_ASM164306v1	NA	NA	plantarum	TRUE
GCA_001649985	134	91	71	65	39	21	2995133	2976392	2922318	2875401	2470601	1803771	103	200944	2984980	44.91	63829	32918	16	31	0	PRJNA315185	SAMN04550865	LUSM00000000.1	na	1590	1590	Lactobacillus plantarum	strain=NRCC1	NA	latest	Contig	Major	Full	2016-05-23	ASM164998v1	ICAR-National Research Centre on Camel	GCF_001649985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/649/985/GCA_001649985.1_ASM164998v1	NA	NA	plantarum	TRUE
GCA_001651845	48	30	25	22	19	15	3309714	3302451	3292289	3273905	3226507	3083698	35	450493	3305505	44.44	238085	163722	5	10	0	PRJNA312934	SAMN04510483	LTAU00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo1837	NA	latest	Contig	Major	Full	2016-05-25	ASM165184v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001651845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/845/GCA_001651845.1_ASM165184v1	NA	NA	plantarum	TRUE
GCA_001659745	4	4	4	3	2	1	3263715	3263715	3263715	3257604	3245952	3212951	4	3212951	3263715	44.55	3212951	3212951	1	1	0	PRJNA323381	SAMN05177792	NA	na	1590	1590	Lactobacillus plantarum	strain=LZ206	NA	latest	Complete Genome	Major	Full	2016-06-08	ASM165974v1	Zhejiang Gongshang University	GCF_001659745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/659/745/GCA_001659745.1_ASM165974v1	NA	NA	plantarum	TRUE
GCA_001660025	6	6	6	6	6	4	3425292	3425292	3425292	3425292	3425292	3351619	6	3131750	3425292	44.35	3131750	3131750	1	1	0	PRJNA322423	SAMN05162523	NA	na	1590	1590	Lactobacillus plantarum	strain=LZ227	NA	latest	Complete Genome	Major	Full	2016-06-08	ASM166002v1	Zhejiang Gongshang University	GCF_001660025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/025/GCA_001660025.1_ASM166002v1	NA	NA	plantarum	TRUE
GCA_001660645	166	144	90	70	31	18	3278495	3261906	3143176	2992831	2352024	1927940	166	260476	3278495	43.6	63959	23713	13	36	2.47	PRJNA314790	SAMN04543542	LUHN00000000.1	na	1590	1590	Lactobacillus plantarum	strain=MPL16	NA	latest	Contig	Major	Full	2016-06-09	ASM166064v1	CERELA-CONICET	GCF_001660645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/645/GCA_001660645.1_ASM166064v1	NA	NA	plantarum	TRUE
GCA_001662895	101	93	74	62	41	25	3263056	3257056	3209340	3120790	2746944	2237329	101	216742	3263056	44.33	66956	34042	16	31	0	PRJNA321944	SAMN05162514	LYUK00000000.1	na	1590	1590	Lactobacillus plantarum	strain=SRCM101060	NA	latest	Contig	Major	Full	2016-06-15	ASM166289v1	Microbial Institue for Fermentation Industry	GCF_001662895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/895/GCA_001662895.1_ASM166289v1	NA	NA	plantarum	TRUE
GCA_001672035	1	1	1	1	1	1	3354689	3354689	3354689	3354689	3354689	3354689	1	3354689	3354689	44.36	3354689	3354689	1	1	0.09	PRJNA322398	SAMN05162259	NA	na	1590	1590	Lactobacillus plantarum	strain=NCU116	NA	latest	Complete Genome	Major	Full	2016-06-20	ASM167203v1	Nanchang University	GCF_001672035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/035/GCA_001672035.1_ASM167203v1	NA	NA	plantarum	TRUE
GCA_001675425	33	33	24	20	16	15	3303678	3303678	3278031	3249513	3197045	3163669	33	691392	3303678	44.42	299620	160550	5	8	3.27	PRJNA325089	SAMN05219309	LZXZ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=TL2766	NA	latest	Contig	Major	Full	2016-06-22	ASM167542v1	CERELA-CONICET	GCF_001675425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/425/GCA_001675425.1_ASM167542v1	NA	NA	plantarum	TRUE
GCA_001704315	4	4	4	4	4	4	3692742	3692742	3692742	3692742	3692742	3692742	4	3418468	3692742	44.11	3418468	3418468	1	1	0	PRJNA306257	SAMN04346869	NA	na	1590	1590	Lactobacillus plantarum	strain=KP	NA	latest	Complete Genome	Major	Full	2016-08-12	ASM170431v1	University of Alberta	GCF_001704315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/315/GCA_001704315.1_ASM170431v1	NA	NA	plantarum	TRUE
GCA_001704335	4	4	4	4	4	4	3697306	3697306	3697306	3697306	3697306	3697306	4	3423963	3697306	44.08	3423963	3423963	1	1	0	PRJNA306257	SAMN04346870	NA	na	1590	1590	Lactobacillus plantarum	strain=DF	NA	latest	Complete Genome	Major	Full	2016-08-12	ASM170433v1	University of Alberta	GCF_001704335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/335/GCA_001704335.1_ASM170433v1	NA	NA	plantarum	TRUE
GCA_001704595	50	45	36	33	22	18	3391816	3388780	3362846	3337525	3139810	2978844	50	298863	3391816	44.32	150766	121748	8	14	0.29	PRJNA326998	SAMN05300206	MAMT00000000.1	na	1590	1590	Lactobacillus plantarum	strain=PC520	NA	latest	Scaffold	Major	Full	2016-08-13	ASM170459v1	Northwest A&F University	GCF_001704595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/595/GCA_001704595.1_ASM170459v1	NA	NA	plantarum	TRUE
GCA_001704645	24	20	18	17	14	13	3218028	3215295	3212201	3202462	3152639	3119866	24	556877	3218028	44.5	315451	178504	4	8	0.31	PRJNA328074	SAMN05363625	MAXE00000000.1	na	1590	1590	Lactobacillus plantarum	strain=XJ25	NA	latest	Scaffold	Major	Full	2016-08-14	ASM170464v1	Northwest A&F University	GCF_001704645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/645/GCA_001704645.1_ASM170464v1	NA	NA	plantarum	TRUE
GCA_001715615	2	2	2	1	1	1	3128783	3128783	3128783	3119435	3119435	3119435	2	3119435	3128783	44.74	3119435	3119435	1	1	0	PRJNA309633	SAMN04437173	NA	na	1590	1590	Lactobacillus plantarum	strain=LY-78	NA	latest	Complete Genome	Major	Full	2016-08-29	ASM171561v1	Heilongjiang Bayi Agricultural University	GCF_001715615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/715/615/GCA_001715615.1_ASM171561v1	NA	NA	plantarum	TRUE
GCA_001720285	3	3	3	3	2	2	3455529	3455529	3455529	3455529	3439348	3439348	3	3388033	3455529	44.29	3388033	3388033	1	1	0	PRJNA338087	SAMN05520948	MCOL00000000.1	na	1590	1590	Lactobacillus plantarum	strain=JSA22	NA	latest	Contig	Major	Full	2016-09-06	ASM172028v1	National Academy of Agrigultural Science	GCF_001720285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/720/285/GCA_001720285.1_ASM172028v1	NA	NA	plantarum	TRUE
GCA_001742965	25	24	21	20	16	14	3165622	3165092	3156211	3149885	3082362	3014670	25	803927	3165622	44.67	321914	140880	3	7	3.41	PRJNA296751	SAMN04155596	MJAM00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Kanjika2007	NA	latest	Scaffold	Major	Full	2016-09-23	ASM174296v1	CSIR-CFTRI	GCF_001742965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/965/GCA_001742965.1_ASM174296v1	NA	NA	plantarum	TRUE
GCA_001754005	102	73	59	52	37	21	3080303	3066716	3042706	2992913	2736025	2217384	81	405771	3072947	44.68	80270	43773	12	23	0	PRJNA309642	SAMN04437239	MEGY00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CGMCC 8198	NA	latest	Contig	Major	Full	2016-10-07	ASM175400v1	Tianjin University of Science&Technology	GCF_001754005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/754/005/GCA_001754005.1_ASM175400v1	NA	NA	plantarum	TRUE
GCA_001754025	170	102	71	57	33	23	3124603	3096941	3012890	2905274	2482942	2110077	119	202010	3108954	44.52	67000	34662	14	29	408.34	PRJNA318575	SAMN04858425	LWKN00000000.1	na	1590	1590	Lactobacillus plantarum	strain=LL441	NA	latest	Scaffold	Major	Full	2016-10-07	ASM175402v1	IPLA-CSIC	GCF_001754025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/754/025/GCA_001754025.1_ASM175402v1	NA	NA	plantarum	TRUE
GCA_001874125	7	7	7	7	7	4	3392777	3392777	3392777	3392777	3392777	3299676	7	3097773	3392777	44.43	3097773	3097773	1	1	0	PRJNA352107	SAMN05966974	NA	na	1590	1590	Lactobacillus plantarum	strain=C410L1	NA	latest	Complete Genome	Major	Full	2016-11-10	ASM187412v1	Anhui University	GCF_001874125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/125/GCA_001874125.1_ASM187412v1	NA	NA	plantarum	TRUE
GCA_001880185	29	29	13	11	5	3	3564579	3564579	3518849	3504028	3407115	3354765	29	3235952	3564579	44.22	3235952	3235952	1	1	0	PRJNA301506	SAMN04251328	NA	na	1590	1590	Lactobacillus plantarum	strain=MF1298	NA	latest	Complete Genome	Major	Full	2016-11-17	ASM188018v1	Nofima	GCF_001880185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/880/185/GCA_001880185.1_ASM188018v1	NA	NA	plantarum	TRUE
GCA_001888245	77	66	49	44	30	18	3313161	3307830	3271282	3239540	2973537	2514741	70	363857	3311350	44.4	124636	59319	9	18	0	PRJNA283610	SAMN03654505	LEBU00000000.1	na	1590	1590	Lactobacillus plantarum	strain=I61	NA	latest	Contig	Major	Full	2016-12-03	ASM188824v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/245/GCA_001888245.1_ASM188824v1	NA	NA	plantarum	TRUE
GCA_001888255	74	53	43	36	26	18	3301864	3290800	3268906	3214875	3049506	2735206	63	281760	3297841	44.31	177124	89912	8	15	0	PRJNA283610	SAMN03654466	LEBR00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P22	NA	latest	Contig	Major	Full	2016-12-03	ASM188825v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/255/GCA_001888255.1_ASM188825v1	NA	NA	plantarum	TRUE
GCA_001888265	92	69	54	44	28	24	3492240	3479846	3448474	3378283	3126485	2989478	80	326350	3488443	44.06	131645	78690	10	19	0	PRJNA283610	SAMN03654461	LEBT00000000.1	na	1590	1590	Lactobacillus plantarum	strain=K35	NA	latest	Contig	Major	Full	2016-12-03	ASM188826v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/265/GCA_001888265.1_ASM188826v1	NA	NA	plantarum	TRUE
GCA_001888275	234	155	72	56	34	23	3646071	3605984	3446405	3326204	2980251	2603823	185	308690	3629357	43.89	87428	38950	12	26	0	PRJNA283610	SAMN03654486	LEBS00000000.1	na	1590	1590	Lactobacillus plantarum	strain=T10	NA	latest	Contig	Major	Full	2016-12-03	ASM188827v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/275/GCA_001888275.1_ASM188827v1	NA	NA	plantarum	TRUE
GCA_001888325	60	42	36	36	28	20	3264314	3256965	3245562	3245562	3111137	2819238	46	507114	3259653	44.47	160694	73877	6	15	0	PRJNA283610	SAMN03654472	LEBP00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P31	NA	latest	Contig	Major	Full	2016-12-03	ASM188832v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/325/GCA_001888325.1_ASM188832v1	NA	NA	plantarum	TRUE
GCA_001888335	63	48	34	34	26	18	3274302	3266671	3243356	3243356	3106983	2802284	56	507100	3272223	44.47	181778	74873	6	13	0	PRJNA283610	SAMN03654474	LEBO00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P42	NA	latest	Contig	Major	Full	2016-12-03	ASM188833v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/335/GCA_001888335.1_ASM188833v1	NA	NA	plantarum	TRUE
GCA_001888345	51	42	39	37	29	20	3236468	3232408	3226408	3208079	3079384	2734562	45	435834	3234760	44.41	113065	66751	7	16	0	PRJNA283610	SAMN03654470	LEBQ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P26	NA	latest	Contig	Major	Full	2016-12-03	ASM188834v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/345/GCA_001888345.1_ASM188834v1	NA	NA	plantarum	TRUE
GCA_001888355	46	39	33	33	27	18	3262755	3259560	3247026	3247026	3140449	2800640	41	523877	3261286	44.47	181776	74874	6	13	0	PRJNA283610	SAMN03654478	LEBN00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P62	NA	latest	Contig	Major	Full	2016-12-03	ASM188835v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/355/GCA_001888355.1_ASM188835v1	NA	NA	plantarum	TRUE
GCA_001888405	65	51	43	41	33	24	3236503	3230947	3213729	3200407	3071791	2758076	55	373743	3233567	44.41	99198	64880	9	19	0	PRJNA283610	SAMN03654481	LEBM00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P67	NA	latest	Contig	Major	Full	2016-12-03	ASM188840v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/405/GCA_001888405.1_ASM188840v1	NA	NA	plantarum	TRUE
GCA_001888415	92	81	75	65	39	21	3235520	3229320	3213417	3140384	2749820	2034344	88	235270	3234508	44.41	66751	39123	15	30	0	PRJNA283610	SAMN03654484	LEBJ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P86	NA	latest	Contig	Major	Full	2016-12-03	ASM188841v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/415/GCA_001888415.1_ASM188841v1	NA	NA	plantarum	TRUE
GCA_001888425	57	40	35	33	27	20	3309319	3302847	3293728	3278750	3170608	2914999	44	523877	3305892	44.43	155738	75777	7	14	0	PRJNA283610	SAMN03654355	LEBL00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P73	NA	latest	Contig	Major	Full	2016-12-03	ASM188842v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/425/GCA_001888425.1_ASM188842v1	NA	NA	plantarum	TRUE
GCA_001888465	77	63	47	40	28	19	3341931	3336437	3296851	3249173	3048548	2710661	67	493814	3339319	44.29	147542	65825	6	16	0	PRJNA283610	SAMN03654482	LEBK00000000.1	na	1590	1590	Lactobacillus plantarum	strain=P76	NA	latest	Contig	Major	Full	2016-12-03	ASM188846v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/465/GCA_001888465.1_ASM188846v1	NA	NA	plantarum	TRUE
GCA_001888485	39	32	26	26	21	15	3205257	3202206	3190930	3190930	3095776	2859024	34	337691	3203810	44.47	225811	161949	6	10	0	PRJNA283610	SAMN03654489	LEBI00000000.1	na	1590	1590	Lactobacillus plantarum	strain=MHO2.4	NA	latest	Contig	Major	Full	2016-12-03	ASM188848v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/485/GCA_001888485.1_ASM188848v1	NA	NA	plantarum	TRUE
GCA_001888495	50	31	21	20	15	12	3348097	3341578	3318870	3312773	3242310	3151489	35	570282	3343985	44.36	300245	177144	4	8	0	PRJNA283610	SAMN03654490	LEBH00000000.1	na	1590	1590	Lactobacillus plantarum	strain=MHO2.5	NA	latest	Contig	Major	Full	2016-12-03	ASM188849v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/495/GCA_001888495.1_ASM188849v1	NA	NA	plantarum	TRUE
GCA_001888505	101	66	55	47	34	20	3335554	3320989	3293469	3234143	3033438	2546266	77	473883	3328104	44.36	135980	51192	8	19	0	PRJNA283610	SAMN03654492	LEBG00000000.1	na	1590	1590	Lactobacillus plantarum	strain=MHO2.9	NA	latest	Contig	Major	Full	2016-12-03	ASM188850v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/505/GCA_001888505.1_ASM188850v1	NA	NA	plantarum	TRUE
GCA_001888525	37	29	25	23	19	18	3393963	3389824	3382170	3365651	3301272	3273687	32	687397	3392341	44.24	204984	136810	5	10	0	PRJNA283610	SAMN03654356	LEBF00000000.1	na	1590	1590	Lactobacillus plantarum	strain=A3	NA	latest	Contig	Major	Full	2016-12-03	ASM188852v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/525/GCA_001888525.1_ASM188852v1	NA	NA	plantarum	TRUE
GCA_001888565	70	62	46	41	29	18	3312306	3308074	3273155	3241368	3025181	2607552	65	549611	3310662	44.41	138856	64611	7	16	0	PRJNA283610	SAMN03654504	LEBE00000000.1	na	1590	1590	Lactobacillus plantarum	strain=I08	NA	latest	Contig	Major	Full	2016-12-03	ASM188856v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/565/GCA_001888565.1_ASM188856v1	NA	NA	plantarum	TRUE
GCA_001888575	57	51	42	40	24	18	3104243	3100687	3075650	3061946	2817201	2602977	55	306258	3103604	45.14	165909	71204	7	14	0	PRJNA283610	SAMN03654499	LEBD00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CIF17A2	NA	latest	Contig	Major	Full	2016-12-03	ASM188857v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/575/GCA_001888575.1_ASM188857v1	NA	NA	plantarum	TRUE
GCA_001888585	59	49	42	39	25	16	3105750	3101609	3086259	3062345	2838035	2498144	51	318101	3103138	45.14	166436	68744	6	14	0	PRJNA283610	SAMN03654500	LEBC00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CIF17A4	NA	latest	Contig	Major	Full	2016-12-03	ASM188858v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/585/GCA_001888585.1_ASM188858v1	NA	NA	plantarum	TRUE
GCA_001888595	61	50	42	40	26	16	3104906	3100323	3084221	3067535	2840804	2470995	54	306256	3102824	45.14	154912	74643	7	14	0	PRJNA283610	SAMN03654501	LEBB00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CIF17A5	NA	latest	Contig	Major	Full	2016-12-03	ASM188859v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/595/GCA_001888595.1_ASM188859v1	NA	NA	plantarum	TRUE
GCA_001888645	99	74	57	50	31	17	3127674	3114891	3071632	3016827	2718977	2209362	86	306238	3123592	45.07	107175	43408	9	20	0	PRJNA283610	SAMN03654502	LEBA00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CIF17AN2	NA	latest	Contig	Major	Full	2016-12-03	ASM188864v1	Faculty of Agro-industry, Prince of Songkla University, wageningen university	GCF_001888645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/645/GCA_001888645.1_ASM188864v1	NA	NA	plantarum	TRUE
